,0
14481,0
14482,0
14493,1
14513,2
14519,2
14523,1
14526,0
14538,1
14540,0
14543,0
14546,1
14557,1
14566,2
14572,0
14574,1
14586,2
14595,0
14596,1
14604,0
14605,2
14618,2
14633,1
14638,2
14648,1
14654,1
14671,1
14678,1
14679,0
14703,1
14709,0
14718,0
14719,0
14720,2
14721,1
14725,0
14730,0
14751,0
14759,2
14760,1
14766,0
14770,1
14778,1
14781,0
14788,2
14797,0
14815,0
14841,2
14858,0
14859,1
14865,0
14873,2
14885,0
14889,0
14891,0
14896,0
14908,0
14915,0
14920,2
14952,1
14955,0
14965,0
14970,0
15000,2
15016,0
15019,0
15038,2
15039,0
15041,0
15048,2
15058,2
15061,1
15073,0
15074,1
15082,2
15093,0
15106,1
15107,0
15122,0
15132,1
15134,2
15141,2
15143,2
15154,2
15155,0
15158,1
15166,0
15170,1
15173,2
15187,2
15190,0
15191,1
15192,2
15199,0
15211,2
15213,0
15216,0
15229,1
15248,2
15258,2
15259,1
15265,1
15271,2
15295,0
15299,0
15312,2
15323,2
15333,0
15336,1
15340,0
15343,0
15346,2
15351,0
15359,1
15377,0
15404,0
15422,0
15427,0
15429,0
15437,2
15440,0
15441,0
15446,2
15461,0
15463,1
15469,2
15486,0
15502,1
15504,2
15524,1
15528,0
15531,1
15540,1
15542,0
15550,0
15555,1
15556,1
15563,0
15586,2
15589,1
15592,2
15594,0
15598,2
15601,0
15605,2
15609,2
15610,0
15624,1
15625,0
15627,1
15628,2
15632,2
15645,0
15649,0
15661,0
15665,1
15666,0
15672,2
15677,1
15679,0
15680,0
15683,1
15685,0
15689,0
15699,1
15710,2
15720,0
15725,1
15726,1
15727,1
15734,1
15745,1
15751,0
15757,1
15762,2
15765,2
15769,1
15772,2
15773,2
15774,1
15776,1
15793,0
15819,1
15821,0
15835,0
15839,0
15842,1
15847,0
15856,2
15863,1
15868,0
15869,1
15877,0
15881,0
15889,0
15890,0
15891,0
15899,1
15903,1
15907,0
15914,1
15925,0
15926,2
15930,1
15934,1
15945,1
15959,0
15960,1
15962,2
15964,2
15974,0
15981,1
15989,1
15991,2
16007,0
16017,1
16025,1
16032,0
16041,0
16042,1
16056,0
16060,1
16075,2
16076,2
16085,2
16088,1
16097,0
16118,0
16121,2
16127,0
16140,1
16144,2
16147,1
16153,0
16155,0
16176,0
16177,1
16184,0
16186,2
16188,0
16189,1
16199,2
16206,1
16224,0
16232,1
16240,0
16245,0
16273,0
16288,1
16289,1
16292,0
16296,0
16303,0
16315,0
16321,2
16324,1
16326,0
16332,1
16335,2
16338,0
16342,0
16350,1
16352,0
16360,0
16373,0
16395,2
16399,2
16418,2
16432,0
16434,2
16448,0
16451,0
16454,1
16458,2
16459,1
16465,2
16469,1
16479,2
16482,1
16489,2
16513,0
16546,2
16548,0
16553,1
16563,2
16569,0
16583,0
16587,2
16597,1
16598,0
16600,1
16601,1
16608,1
16609,1
16612,0
16616,1
16625,0
16652,0
16660,0
16661,2
16670,1
16671,2
16675,0
16677,0
16687,0
16688,1
16692,0
16696,1
16700,1
16703,1
16704,2
16718,0
16732,1
16737,0
16741,0
16744,0
16760,1
16785,1
16803,0
16812,2
16823,1
16826,0
16833,0
16841,0
16849,2
16852,1
16865,2
16867,1
16872,1
16890,0
16891,0
16903,1
16913,2
16914,1
16954,2
16967,0
16987,0
16994,0
16997,1
17020,0
17022,1
17023,2
17047,1
17054,0
17081,0
17088,1
17098,2
17104,1
17110,0
17112,1
17116,0
17118,1
17142,0
17146,1
17147,1
17152,0
17153,0
17159,2
17162,2
17163,0
17173,0
17184,2
17189,0
17190,0
17193,1
17230,0
17259,2
17280,0
17284,0
17287,2
17290,1
17291,0
17294,1
17296,2
17300,2
17304,1
17305,1
17311,0
17312,0
17315,0
17328,1
17332,1
17345,2
17350,0
17351,2
17353,0
17367,0
17372,0
17382,2
17384,1
17390,0
17395,1
17397,0
17407,0
17410,1
17415,2
17434,2
17438,2
17444,0
17454,1
17459,2
17468,0
17476,0
17478,1
17481,1
17491,2
17512,0
17514,0
17527,2
17538,2
17539,2
17553,0
17567,0
17569,1
17573,2
17574,0
17582,1
17583,0
17584,0
17587,0
17600,2
17604,0
17607,1
17610,1
17617,2
17618,0
17623,0
17627,1
17632,1
17633,1
17639,1
17644,1
17647,0
17648,2
17649,2
17655,0
17656,0
17672,0
17681,0
17691,0
17702,0
17710,0
17714,1
17715,0
17718,0
17720,2
17723,0
17724,2
17736,2
17738,1
17743,1
17754,0
17755,1
17758,0
17803,2
17816,1
17817,1
17824,1
17843,0
17863,1
17878,1
17895,2
17944,2
17946,0
17962,2
17969,2
17971,0
17972,2
17974,0
17987,1
17988,0
17991,0
17992,0
17999,2
18006,0
18022,0
18029,0
18030,0
18036,1
18042,0
18046,0
18051,2
18052,0
18062,2
18070,1
18072,0
18076,0
18078,1
18079,1
18080,1
18083,0
18085,1
18094,2
18106,0
18107,0
18114,0
18117,1
18118,2
18130,0
18145,0
18163,2
18168,2
18171,0
18181,0
18185,2
18187,0
18204,0
18208,0
18210,2
18226,0
18247,1
18259,2
18264,0
18275,2
18278,1
18286,0
18296,0
18297,0
18300,1
18304,2
18305,1
18320,0
18325,0
18335,0
18339,0
18349,1
18359,1
18370,1
18376,2
18377,1
18396,1
18405,2
18407,0
18408,0
18411,1
18414,0
18423,0
18429,0
18437,0
18443,1
18447,0
18463,0
18470,0
18471,0
18482,2
18487,0
18489,0
18500,0
18502,1
18515,0
18525,0
18539,0
18545,1
18557,2
18559,0
18568,1
18569,0
18571,0
18574,0
18594,1
18597,2
18620,1
18628,0
18631,0
18633,1
18667,1
18671,0
18682,2
18689,2
18695,0
18698,1
18701,2
18724,2
18726,1
18729,0
18738,2
18754,2
18756,2
18757,1
18762,2
18789,0
18800,0
18822,1
18829,0
18830,2
18833,2
18839,2
18844,1
18867,0
18876,0
18878,1
18880,0
18884,1
18895,2
18897,0
18902,2
18906,0
18915,0
18922,2
18926,1
18938,0
18951,1
18956,0
18957,1
18958,0
18959,2
18960,1
18961,0
18965,0
18970,0
18980,0
18987,2
19009,2
19020,0
19023,1
19024,0
19025,0
19029,0
19032,0
19037,0
19041,0
19052,1
19055,0
19059,0
19067,0
19075,2
19086,0
19094,2
19106,0
19107,0
19108,1
19111,0
19113,2
19123,0
19124,0
19138,1
19143,0
19173,0
19177,0
19190,0
19196,1
19205,2
19212,1
19215,1
19216,2
19223,2
19245,1
19247,0
19251,0
19258,2
19263,0
19269,2
19271,0
19279,0
19287,2
19300,0
19323,0
19328,2
19340,1
19341,2
19343,2
19347,2
19354,2
19359,0
19361,1
19373,1
19378,0
19385,2
19395,1
19413,1
19416,1
19421,1
19426,0
19431,0
19435,0
19443,0
19444,1
19450,2
19451,2
19452,2
19453,2
19454,2
19456,0
19462,0
19468,1
19472,2
19475,1
19477,1
19484,2
19494,1
19515,2
19516,0
19523,1
19526,1
19552,0
19557,2
19560,0
19561,2
19569,2
19572,0
19573,2
19576,1
19583,0
19587,0
19592,1
19598,1
19599,0
19618,2
19622,0
19629,2
19630,0
19635,2
19642,1
19654,1
19680,0
19681,0
19682,0
19684,0
19687,0
19692,1
19697,2
19710,1
19711,1
19713,2
19719,0
19728,2
19730,2
19734,2
19744,0
19757,0
19758,1
19763,1
19770,2
19772,0
19782,1
19783,1
19789,1
19791,0
19801,0
19809,0
19828,0
19840,2
19851,0
19857,2
19867,0
19880,1
19886,1
19901,1
19907,1
19960,0
19962,1
19964,0
19965,0
19979,2
19991,2
20005,1
20034,1
20040,2
20041,0
20045,2
20048,0
20050,0
20068,0
20077,0
20082,0
20085,1
20088,1
20089,0
20091,1
20097,0
20113,0
20120,1
20124,1
20129,1
20134,0
20138,2
20145,0
20148,2
20154,0
20156,1
20162,0
20167,1
20170,1
20171,2
20178,1
20193,0
20199,1
20206,1
20213,0
